acid,epoxide,tg,std
CCn1c(O)nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc21,CC(C)CN(C(=O)c1cccc(OCC2CO2)c1OCC1CO1)c1ccccc1,426.1925,34.3886
O=C(O)CCC(=O)N1CCC(c2ccccc2C(=O)O)CC1,O=C(Nc1ccc(COCC2CO2)c(COCC2CO2)c1)C1CC1,439.8573,21.9599
Cn1cnc2cc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)ccc21,COc1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)c(OCc2ccccc2)c1,436.5374,21.9753
O=C(O)CCN(CCC(=O)O)C(=O)COC(=O)CC1CCC1,Cc1cccc(NC(=O)C(=O)c2ccc(OCC3CO3)cc2)c1OCC1CO1,449.8864,34.8902
CCCOc1ccc(CNCCCC(C(=O)O)C(=O)O)cc1OC,CC1CCN(c2cccc(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)c2)CC1,423.2196,24.8511
COCC(=O)Nc1cccc(CNC(=O)N(CCC(=O)O)CCC(=O)O)c1,O=C(CN1CCCN(C(=O)COCC2CO2)CC1)NCC1CO1,413.4397,32.2238
CN(CCN1CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1)Cc1ccccc1,CN(C)Cc1ccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)cc1,383.3024,22.2025
O=C(O)CCCCC(=O)NCCNCC(=O)NCCC(=O)O,O=C(NCc1ccc(OC2CCCCC2)nc1)c1ccc(OCC2CO2)cc1OCC1CO1,401.3707,31.5678
O=C(O)CC(C(=O)O)N1C(=O)c2ccccc2C1=O,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1cccc2c1CCCC2,470.6868,13.7884
O=C(O)CCNC(=O)CC1(C(=O)NCCC(=O)O)CCOCC1,O=C(CCCCN1CCOCC1)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,383.9146,32.0377
COCCCOCC(=O)Nc1ccc(COCC(=O)O)c(COCC(=O)O)c1,Cc1ccc(C(=O)NCCC(=O)Nc2ccc(C)nc2OCC2CO2)c(OCC2CO2)c1,428.2867,27.0578
O=C(O)c1cccc(CN2CCCC(C(=O)O)C2)c1,O=C(Nc1ccc(OCCc2ccccc2)nc1)C(=O)N(CC1CO1)CC1CO1,451.9331,32.0489
CC(C)(C)c1ccc(C(=O)Nc2ccccc2NCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(OCCCCCO)c1cc(OCC2CO2)ccc1OCC1CO1,436.2095,26.5997
CC(=O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2C(=O)O)cc1,O=C(CC(c1ccccc1)c1ccccc1)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,457.352,39.1845
O=C(O)CCN(CCCOCc1ccccc1)CCC(=O)O,COC(=O)CCCOc1ccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1,365.2754,17.7166
O=C(O)Cn1c(C=Cc2ccc(C(=O)O)cc2)nc2ccccc2c1=O,COc1ccc(C=CC(=O)c2cc(OC)c(OCC3CO3)cc2OC)cc1OCC1CO1,437.3525,13.5837
O=C(O)CCCCC(=O)NCC1(NC(=O)CCCOCCC(=O)O)CCC1,CCCCc1ccc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,387.6322,14.6778
